Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
October 31 2022,San Diego,CA,Passenger,18,10,28,2201,2229,1.26
October 31 2019,Pend Oreille,WA,Truck,0,0,0,5738,5738,0.00
April 30 2021,Missoula,MT,Passenger,1,0,1,62,63,1.59
January 31 2022,Wilson,NC,Passenger,1,0,1,0,1,100.00
August 31 2017,Yakima,WA,Truck,0,0,0,57642,57642,0.00
August 31 2020,Flathead,MT,Passenger,1,0,1,59,60,1.67
September 30 2020,Norfolk,VA,Passenger,2,2,4,351,355,1.13
August 31 2022,Sarasota,FL,Passenger,2,0,2,26,28,7.14
May 31 2018,Fairfax,VA,Passenger,3,2,5,838,843,0.59
March 31 2021,Harris,TX,Passenger,1,1,2,209,211,0.95
April 30 2022,Washington,MD,Passenger,2,0,2,14,16,12.50
April 30 2022,Cape May,NJ,Passenger,0,1,1,7,8,12.50
February 28 2023,Napa,CA,Passenger,0,1,1,9,10,10.00
February 28 2019,Eagle,CO,Passenger,1,0,1,5,6,16.67
June 30 2022,Wood,OH,Passenger,0,1,1,5,6,16.67
April 30 2019,Fairfax,VA,Passenger,4,2,6,785,791,0.76
October 31 2021,Fort Bend,TX,Passenger,1,0,1,36,37,2.70
March 31 2022,Los Angeles,CA,Passenger,7,7,14,813,827,1.69
December 31 2020,Placer,CA,Passenger,2,0,2,88,90,2.22
May 31 2019,Maui,HI,Passenger,2,0,2,45,47,4.26
November 30 2018,Carson City,NV,Passenger,1,0,1,15,16,6.25
August 31 2021,Dallas,IA,Passenger,0,1,1,9,10,10.00
December 31 2021,Rockdale,GA,Passenger,1,0,1,7,8,12.50
November 30 2021,New York,NY,Passenger,1,0,1,38,39,2.56
October 31 2018,Hawaii,HI,Passenger,1,0,1,67,68,1.47
May 31 2019,San Joaquin,CA,Passenger,1,0,1,133,134,0.75
October 31 2017,Pinal,AZ,Passenger,2,0,2,223,225,0.89
October 31 2019,Randolph,NC,Passenger,1,0,1,6,7,14.29
January 31 2017,Bexar,TX,Passenger,3,3,6,1254,1260,0.48
April 30 2020,Chelan,WA,Truck,0,0,0,22461,22461,0.00
February 29 2020,Klamath,OR,Passenger,1,0,1,37,38,2.63
May 31 2021,Okanogan,WA,Truck,0,0,0,16754,16754,0.00
January 31 2017,Manassas,VA,Passenger,0,1,1,8,9,11.11
April 30 2022,Yakima,WA,Passenger,318,183,501,167410,167911,0.30
June 30 2019,Asotin,WA,Truck,0,0,0,6667,6667,0.00
September 30 2019,Ferry,WA,Passenger,5,2,7,4424,4431,0.16
February 28 2023,Palm Beach,FL,Passenger,1,0,1,41,42,2.38
April 30 2021,Richmond,NY,Passenger,1,0,1,8,9,11.11
March 31 2022,Douglas,WA,Passenger,125,56,181,28529,28710,0.63
November 30 2018,Columbia,WA,Passenger,2,2,4,2438,2442,0.16
September 30 2019,Franklin,WA,Passenger,51,73,124,60360,60484,0.21
May 31 2017,Island,WA,Passenger,113,129,242,59916,60158,0.40
February 28 2017,Tulare,CA,Passenger,1,0,1,200,201,0.50
November 30 2017,Volusia,FL,Passenger,0,1,1,38,39,2.56
October 31 2020,El Dorado,CA,Passenger,1,0,1,34,35,2.86
December 31 2022,King,WA,Passenger,48187,12254,60441,1337897,1398338,4.32
September 30 2017,Shelby,TN,Passenger,0,1,1,106,107,0.93
April 30 2021,Monterey,CA,Passenger,0,1,1,150,151,0.66
May 31 2019,Harnett,NC,Passenger,1,1,2,219,221,0.90
March 31 2021,Morris,NJ,Passenger,1,0,1,16,17,5.88
January 31 2022,Lee,FL,Passenger,1,0,1,32,33,3.03
April 30 2022,Lincoln,WA,Truck,0,0,0,4852,4852,0.00
April 30 2017,Walla Walla,WA,Truck,0,0,0,13176,13176,0.00
October 31 2017,Montgomery,TN,Passenger,1,0,1,276,277,0.36
November 30 2021,Solano,CA,Passenger,1,0,1,178,179,0.56
November 30 2022,Onslow,NC,Passenger,0,1,1,155,156,0.64
April 30 2022,Hamilton,IN,Passenger,1,0,1,22,23,4.35
February 28 2021,Jefferson,WA,Passenger,295,168,463,24787,25250,1.83
January 31 2017,San Juan,WA,Passenger,84,31,115,13349,13464,0.85
August 31 2020,Broward,FL,Passenger,2,1,3,111,114,2.63
December 31 2020,King,WA,Truck,6,1,7,184360,184367,0.00
February 29 2020,Calvert,MD,Passenger,0,2,2,91,93,2.15
May 31 2020,Skagit,WA,Passenger,400,216,616,91167,91783,0.67
August 31 2017,Skagit,WA,Truck,1,0,1,31515,31516,0.00
August 31 2019,Orange,CA,Passenger,6,3,9,538,547,1.65
June 30 2023,King,WA,Passenger,57391,14609,72000,1317849,1389849,5.18
February 28 2023,Kittitas,WA,Passenger,321,92,413,29520,29933,1.38
July 31 2019,Multnomah,OR,Passenger,5,6,11,745,756,1.46
October 31 2022,Klickitat,WA,Truck,3,0,3,8250,8253,0.04
March 31 2020,Cochise,AZ,Passenger,0,1,1,101,102,0.98
July 31 2021,Essex,NJ,Passenger,1,0,1,10,11,9.09
March 31 2019,Bexar,TX,Passenger,3,4,7,682,689,1.02
September 30 2022,District of Columbia,DC,Passenger,4,0,4,163,167,2.40
September 30 2021,Skamania,WA,Truck,0,0,0,4042,4042,0.00
April 30 2020,Kent,MI,Passenger,0,1,1,23,24,4.17
December 31 2022,Lincoln,OR,Passenger,0,1,1,15,16,6.25
September 30 2018,Garfield,WA,Passenger,1,1,2,1320,1322,0.15
March 31 2018,Volusia,FL,Passenger,0,1,1,34,35,2.86
July 31 2023,Deschutes,OR,Passenger,2,0,2,49,51,3.92
September 30 2020,Collier,FL,Passenger,1,0,1,19,20,5.00
June 30 2023,Randolph,NC,Passenger,1,0,1,3,4,25.00
May 31 2022,Wood,OH,Passenger,0,1,1,5,6,16.67
April 30 2019,Orange,CA,Passenger,6,1,7,542,549,1.28
May 31 2018,Arlington,VA,Passenger,1,2,3,173,176,1.70
December 31 2017,Santa Clara,CA,Passenger,7,1,8,388,396,2.02
October 31 2017,Moore,NC,Passenger,0,1,1,203,204,0.49
July 31 2021,Harnett,NC,Passenger,1,1,2,175,177,1.13
March 31 2019,DeKalb,GA,Passenger,1,0,1,82,83,1.20
June 30 2017,Manatee,FL,Passenger,1,0,1,47,48,2.08
August 31 2018,New Haven,CT,Passenger,0,1,1,48,49,2.04
December 31 2020,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2018,Thurston,WA,Truck,0,0,0,54563,54563,0.00
May 31 2018,Portsmouth,VA,Passenger,0,1,1,71,72,1.39
June 30 2017,Los Angeles,CA,Passenger,3,1,4,1298,1302,0.31
February 28 2019,Klamath,OR,Passenger,1,0,1,37,38,2.63
April 30 2022,Hawaii,HI,Passenger,1,0,1,37,38,2.63
December 31 2019,Hudson,NJ,Passenger,1,0,1,38,39,2.56
March 31 2021,Ramsey,MN,Passenger,1,0,1,32,33,3.03
April 30 2020,Charles,MD,Passenger,0,1,1,76,77,1.30
September 30 2021,Adams,WA,Truck,0,0,0,5403,5403,0.00
December 31 2020,Norfolk,VA,Passenger,2,3,5,342,347,1.44
January 31 2020,Dallas,IA,Passenger,0,1,1,10,11,9.09
January 31 2020,Spokane,WA,Truck,1,0,1,96896,96897,0.00
December 31 2018,Flathead,MT,Passenger,1,0,1,57,58,1.72
October 31 2022,Fairbanks North Star,AK,Passenger,0,1,1,63,64,1.56
December 31 2018,San Diego,CA,Passenger,9,2,11,2583,2594,0.42
June 30 2023,Benton,WA,Passenger,1137,566,1703,134428,136131,1.25
March 31 2018,San Diego,CA,Passenger,6,1,7,2564,2571,0.27
June 30 2021,Skagit,WA,Truck,1,0,1,33028,33029,0.00
March 31 2017,Mason,WA,Truck,0,0,0,19229,19229,0.00
January 31 2017,Klickitat,WA,Truck,0,0,0,7944,7944,0.00
September 30 2020,St. Clair,IL,Passenger,1,0,1,141,142,0.70
February 28 2019,Montgomery,MD,Passenger,1,0,1,282,283,0.35
February 28 2022,Sarasota,FL,Passenger,2,0,2,31,33,6.06
July 31 2017,Kent,MI,Passenger,0,1,1,37,38,2.63
June 30 2023,Bexar,TX,Passenger,2,2,4,336,340,1.18
March 31 2017,Asotin,WA,Passenger,5,2,7,12335,12342,0.06
August 31 2022,Clallam,WA,Truck,4,0,4,21875,21879,0.02
January 31 2019,Larimer,CO,Passenger,1,0,1,59,60,1.67
February 28 2023,Moore,NC,Passenger,0,1,1,107,108,0.93
September 30 2019,San Juan,WA,Passenger,229,73,302,14429,14731,2.05
March 31 2019,Manatee,FL,Passenger,1,0,1,34,35,2.86
September 30 2018,Morris,NJ,Passenger,1,0,1,17,18,5.56
December 31 2019,Osceola,FL,Passenger,1,0,1,43,44,2.27
February 28 2023,Allen,IN,Passenger,1,0,1,15,16,6.25
August 31 2019,King,WA,Passenger,20004,7202,27206,1393059,1420265,1.92
June 30 2022,Orange,CA,Passenger,5,2,7,359,366,1.91
July 31 2018,Prince William,VA,Passenger,0,4,4,262,266,1.50
April 30 2019,Marion,OR,Passenger,1,0,1,119,120,0.83
February 29 2020,Shelby,TN,Passenger,0,1,1,93,94,1.06
October 31 2017,Klickitat,WA,Passenger,22,27,49,14805,14854,0.33
March 31 2021,Whitman,WA,Passenger,54,44,98,21928,22026,0.44
July 31 2022,Jefferson,WA,Truck,3,0,3,9457,9460,0.03
December 31 2020,Fairfax,VA,Passenger,5,3,8,712,720,1.11
April 30 2018,Portsmouth,VA,Passenger,0,1,1,72,73,1.37
October 31 2019,Shelby,TN,Passenger,0,1,1,96,97,1.03
May 31 2018,Clay,FL,Passenger,0,1,1,93,94,1.06
February 28 2019,El Paso,CO,Passenger,3,2,5,767,772,0.65
February 28 2023,Skamania,WA,Truck,1,0,1,3863,3864,0.03
January 31 2023,Kern,CA,Passenger,1,1,2,194,196,1.02
April 30 2022,Penobscot,ME,Passenger,0,1,1,7,8,12.50
August 31 2021,Yakima,WA,Passenger,248,163,411,168907,169318,0.24
August 31 2018,Dakota,MN,Passenger,0,2,2,35,37,5.41
February 28 2018,Clark,WA,Truck,0,0,0,78571,78571,0.00
April 30 2023,Hillsborough,FL,Passenger,0,2,2,106,108,1.85
March 31 2020,Sumter,FL,Passenger,0,1,1,9,10,10.00
July 31 2018,King,WA,Passenger,13478,5802,19280,1372417,1391697,1.39
September 30 2019,Nueces,TX,Passenger,1,1,2,90,92,2.17
May 31 2020,New London,CT,Passenger,1,2,3,246,249,1.20
May 31 2017,Lincoln,WA,Truck,0,0,0,4459,4459,0.00
March 31 2018,Manassas,VA,Passenger,0,1,1,8,9,11.11
January 31 2019,Carroll,NH,Passenger,0,1,1,1,2,50.00
June 30 2019,Island,WA,Passenger,317,240,557,63375,63932,0.87
July 31 2020,Clallam,WA,Passenger,237,169,406,50055,50461,0.80
November 30 2020,San Diego,CA,Passenger,15,4,19,2738,2757,0.69
February 28 2018,DuPage,IL,Passenger,1,0,1,67,68,1.47
January 31 2021,Travis,TX,Passenger,2,3,5,167,172,2.91
September 30 2020,Boulder,CO,Passenger,1,1,2,46,48,4.17
April 30 2021,Franklin,WA,Passenger,109,95,204,61942,62146,0.33
September 30 2019,Lewis,WA,Passenger,107,101,208,59358,59566,0.35
February 28 2021,Jefferson,WA,Truck,0,0,0,9576,9576,0.00
August 31 2023,Santa Barbara,CA,Passenger,1,0,1,58,59,1.69
May 31 2023,Allen,IN,Passenger,1,0,1,12,13,7.69
January 31 2022,Pierce,WA,Passenger,4366,2153,6519,554001,560520,1.16
June 30 2017,Spokane,WA,Passenger,253,208,461,296801,297262,0.16
April 30 2019,Asotin,WA,Passenger,12,8,20,12659,12679,0.16
August 31 2020,Orange,CA,Passenger,6,2,8,490,498,1.61
June 30 2021,Klickitat,WA,Truck,0,0,0,8300,8300,0.00
May 31 2021,Hennepin,MN,Passenger,2,0,2,76,78,2.56
May 31 2022,Rockdale,GA,Passenger,1,0,1,8,9,11.11
January 31 2017,Multnomah,OR,Passenger,0,3,3,1283,1286,0.23
May 31 2022,Nueces,TX,Passenger,1,1,2,53,55,3.64
April 30 2022,Collin,TX,Passenger,4,0,4,96,100,4.00
